港澳频道,#genre#
龙华戏剧台,https://cdn8.163189.xyz/163189/lhxj
美亚电影台,http://zjrtv.vip/live/?tbs=mydy
民视影剧台,http://iptv.4666888.xyz/iptv2A.php?id=53
台湾戏剧台,http://api.mytv666.top/api/hk.php?id=3463306332643630643937393638373465353766316635323663316330353239267469643d74762669643d313332
纬来电影台,http://iptv.4666888.xyz/iptv2A.php?id=54
纬来电影台,https://stream1.freetv.fun/wei-lai-dian-ying-1.m3u8
纬来电影台,https://stream1.freetv.fun/wei-lai-dian-ying-3.m3u8
纬来电影台,https://t.freetv.fun/live/wei-lai-dian-ying-1.php
影迷数位电影台,http://api.mytv666.top/api/hk.php?id=6131303635353630643437386336346438346661633562366261343764303839267469643d74762669643d313233
影迷数位电影台,https://cdn12.178.indevs.in/163189/a643783ec587540e
影迷数位电影台,https://t.freetv.fun/live/ying-mi-shu-wei-dian-ying.php
影迷心公社,https://live.ottiptv.cc/huya/30522289
AXN,http://aktv.top/AKTV/live/aktv2/axn/AKTV.m3u8
TVB翡翠4K,https://o11.163189.xyz/stream/tvb/fct4k/
TVB翡翠马来,http://iptv.4666888.xyz/iptv2A.php?id=28
TVB翡翠台1080P,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
TVB翡翠台4K,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4
TVB翡翠台（备用）,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
TVB功夫,http://cdn6.163189.xyz/163189/yzwx
TVB华丽翡翠,https://o11.163189.xyz/stream/live/hlt/
TVB华丽翡翠新加坡,https://o11.163189.xyz/stream/live/jade/
TVB华丽台,http://php.jdshipin.com:8880/smt.php?id=Tvbjade
TVB奖门人,http://iptv.4666888.xyz/iptv2A.php?id=31
TVB明珠,http://cdn9.163189.xyz/smt1.1.php?id=pearl_twn
TVB明珠,http://php.jdshipin.com/TVOD/iptv.php?id=mzt
TVB明珠,http://php.jdshipin.com/smt.php?id=pearl_twn
TVB千禧经典台,http://iptv.4666888.xyz/iptv2A.php?id=22
TVB千禧经典台,http://php.jdshipin.com/TVOD/iptv.php?id=tvbc
TVB千禧经典台,http://php.jdshipin.com/smt.php?id=Tvbclassic
TVB千禧经典台,https://o11.163189.xyz/stream/live/tvbc/
TVB无线新闻台,http://cdn9.163189.xyz/smt1.1.php?id=inews_twn
TVB无线新闻台,https://stream1.freetv.fun/678d877ac436471c003e6f566eaa81b022de75dca45be60e1660efbf223765ca.m3u8
TVB星河,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxh
TVB星河,http://php.jdshipin.com/TVOD/iptv.php?id=xinghe
TVB星河,http://php.jdshipin.com:8880/PLTV/iptv.php?id=xinghe
TVB星河,http://r.jdshipin.com/Voac4
TVB星河,https://o11.163189.xyz/stream/live/tvbxh/
TVB星河国语,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
TVB娱乐新闻台,http://php.jdshipin.com/TVOD/iptv.php?id=tvbylxw
TVB娱乐新闻台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct2
TVB,https://o11.163189.xyz/stream/tvb/tvbp/
TVB1,http://iptv.4666888.xyz/iptv2A.php?id=25
TVB1,https://6.cdn.loc.cc/163189.php?id=tvb1
TVBJ,http://cdn6.163189.xyz/163189/j1
TVBJ1,http://iptv.4666888.xyz/iptv2A.php?id=26
TVBJ1,http://php.jdshipin.com/TVOD/iptv.php?id=j1
TVBJ1,https://stream1.freetv.fun/fei-cui-tai-bei-mei-ban-1.ctv
TVBJADE,http://cdn6.163189.xyz/163189/jade
TVBS精采,http://api.mytv666.top/api/hk.php?id=3830363432383130613863336265653834636434616138323833633234613230267469643d74762669643d313537
TVBS精彩台,http://api.mytv666.top/api/hk.php?id=3965316530663461373932623537373037303234333262373931613232343761267469643d77696e74763132332669643d3732
TVBS精采,http://iptv.4666888.xyz/iptv2A.php?id=47
TVBS新闻台,http://aktv.top/AKTV/live/aktv/tvbs-1/AKTV.m3u8
TVBS亚洲,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd
TVBS,http://aktv.top/AKTV/live/aktv/tvbs/AKTV.m3u8
TVBS,http://api.mytv666.top/api/hk.php?id=3266393834623966663864373438353433313662666237356336646262653465267469643d74762669643d3937
TVBS,http://rihou.cc:555/tv/hktv/tb19tw0812tw
TVBS,https://a3f1b2.kylintv.tv/live/tvbshd_iphone.m3u8
八大综合台,https://stream1.freetv.fun/ba-da-zong-he-1.m3u8
东森,https://stream1.freetv.fun/dong-sen-mei-zhou-xin-wen-1.m3u8
东森,https://t.freetv.fun/live/dong-sen-mei-zhou-1-1.m3u8
东森,https://t.freetv.fun/live/dong-sen-mei-zhou-1.m3u8
东森超视,https://stream1.freetv.fun/dong-sen-chao-shi-2.m3u8
东森超视,https://stream1.freetv.fun/dong-sen-chao-shi-4.m3u8
东森超视,https://stream1.freetv.fun/dong-sen-chao-shi-7.ctv
东森超视,https://stream1.freetv.fun/dong-sen-chao-shi-8.ctv
东森超视,https://stream1.freetv.fun/dong-sen-chao-shi-8.m3u8
东森卫视,https://stream1.freetv.fun/dong-sen-mei-zhou-wei-shi-1.m3u8
东森新闻台,https://stream1.freetv.fun/dong-sen-xin-wen-1.m3u8
东森新闻台,https://stream1.freetv.fun/dong-sen-xin-wen-3.ctv
东森新闻台,https://stream1.freetv.fun/dong-sen-xin-wen-5.ctv
东森新闻台,https://stream1.freetv.fun/dong-sen-xin-wen-7.ctv
东森洋片,https://live.catvod.com/live.php?id=ettvwestern
东森洋片,https://stream1.freetv.fun/dong-sen-yang-pian-3.m3u8
翡翠台,http://aktv.top/AKTV/live/aktv/null/AKTV.m3u8
翡翠台,http://cdn9.163189.xyz/smt1.1.php?id=jade_twn
翡翠台,http://mytv.cdn.loc.cc/o12.php?id=fct
翡翠台,http://r.jdshipin.com/62WM7
翡翠台,http://r.jdshipin.com/qClQf
翡翠台,http://r.jdshipin.com/qrfbg
翡翠台,https://stream1.freetv.fun/fei-cui-2.ctv
翡翠台版,http://php.jdshipin.com:8880/TVOD/iptv.php?id=j1
翡翠台马来西亚版,http://php.jdshipin.com/TVOD/iptv.php?id=huali
翡翠台泰,http://aktv.top/AKTV/live/aktv/null-16/AKTV.m3u8
翡翠台源1,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台源2,http://php.jdshipin.com/TVOD/iptv.php?id=fct4
翡翠台源3,http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台源4,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
翡翠一台TVB1,http://cdn6.163189.xyz/163189/tvb1
凤凰卫视,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
凤凰卫视香港,http://api.mytv666.top/api/hk.php?id=6366393933363838303835353235313030313837656130343336356238356364267469643d74762669643d3232
凤凰卫视中文,http://api.mytv666.top/api/hk.php?id=3635353536383939393264346132646363626433646461373332353365633339267469643d74762669643d3230
凤凰卫视中文,http://api.mytv666.top/api/hk.php?id=6465653065613934326364336430636165653637343630386633623132626433267469643d77696e74763132332669643d32
凤凰卫视资讯台,http://api.mytv666.top/api/hk.php?id=3466666465333638363063643761373565646565623433626664396162396635267469643d77696e74763132332669643d33
凤凰卫视资讯台,http://api.mytv666.top/api/hk.php?id=3639313932626236616366636537633734323039313738383137613037633739267469643d74762669643d3231
凤凰香港,http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8
凤凰香港,http://cdn6.163189.xyz/163189/fhhk
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
凤凰香港,http://r.jdshipin.com/yDoTN
凤凰香港,https://stream1.freetv.fun/feng-huang-xiang-gang-5.ctv
凤凰中文,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8
凤凰中文,http://cdn6.163189.xyz/163189/fhzw
凤凰中文,http://iptv.4666888.xyz/iptv2A.php?id=27
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文,http://r.jdshipin.com/cCCzW
凤凰中文,https://stream1.freetv.fun/2b657a181daa345025199e7d6b8de95a1a87b19abceafbd16e2499a49da33c6f.m3u8
凤凰中文,https://stream1.freetv.fun/4e695e885cc20b20b7e3ec874fe52ed75e27443778c8ff29e498c4c9d7cec4a0.m3u8
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-10.m3u8
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-11.m3u8
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-12.ctv
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-12.m3u8
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-15.ctv
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-18.m3u8
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-4.m3u8
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-5.ctv
凤凰资讯台,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8
凤凰资讯台,http://cdn6.163189.xyz/163189/fhzx
凤凰资讯台,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰资讯台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
凤凰资讯台,http://r.jdshipin.com/0Rp07
凤凰资讯台,https://cdn6.101.qzz.io/163189/fhzx
凤凰资讯台,https://stream1.freetv.fun/a5857ad51b58a0f7a8c9cbdf291571692b0eed9f5ab2cfce97a211260533c0d8.m3u8
凤凰资讯台,https://stream1.freetv.fun/feng-huang-zi-xun-1.m3u8
凤凰资讯台,https://stream1.freetv.fun/feng-huang-zi-xun-2.ctv
凤凰资讯源2,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2
公视,http://74.91.26.218:82/live/pts.m3u8
公视少儿,http://74.91.26.218:82/live/ptsse.m3u8
公视台语,http://74.91.26.218:82/live/ptsty.m3u8
华视,http://74.91.26.218:82/live/cts.m3u8
华视,http://aktv.top/AKTV/live/aktv/null-11/AKTV.m3u8
华视,http://api.mytv666.top/api/hk.php?id=3365666436303335663238313031386236313534663061623262383237396633267469643d74762669643d3731
华视,http://api.mytv666.top/api/hk.php?id=3537333165663764383566623263326364383330316264303565343834386337267469643d77696e74763132332669643d3638
华视,http://api.mytv666.top/api/hk.php?id=3838353863663263646330383163326466643535306539366535303963653963267469643d74762669643d313139
华视,https://t.freetv.fun/live/hua-shi-1-1.m3u8
华视,https://t.freetv.fun/live/hua-shi-3.php
华视新闻台,https://stream1.freetv.fun/hua-shi-2.m3u8
华视新闻资讯台,http://74.91.26.218:82/live/ctsnews.m3u8
寰宇财经,http://85.237.207.150:50007/of-4gtv-4gtv158/index.m3u8
寰宇财经,http://api.mytv666.top/api/hk.php?id=6232313931303432633731343630636431343030336130396662343066306131267469643d74762669643d313134
寰宇财经,https://t.freetv.fun/live/huan-yu-cai-jing.php
寰宇新闻台,http://222.128.55.152:9080/live/hy.m3u8
寰宇新闻台,https://stream1.freetv.fun/huan-yu-xin-wen-1.m3u8
寰宇新闻台,https://stream1.freetv.fun/huan-yu-xin-wen-4.m3u8
寰宇新闻台,https://stream1.freetv.fun/huan-yu-xin-wen-6.m3u8
寰宇新闻台,https://stream1.freetv.fun/huan-yu-xin-wen-7.m3u8
寰宇新闻台湾台,http://api.mytv666.top/api/hk.php?id=3033373433646530353534613238376432643166376430666330623766303633267469643d74762669643d313133
寰宇新闻台湾台,http://api.mytv666.top/api/hk.php?id=3264386336616633313438633165356234343633333835343932323730646666267469643d77696e74763132332669643d3438
靖天欢乐台,http://api.mytv666.top/api/hk.php?id=3839366637653866343562363363376538376632633733353235626162363134267469643d74762669643d313539
靖天卡通台,http://api.mytv666.top/api/hk.php?id=3536363563306635366665346566326566613430323937633364666166666632267469643d74762669643d313632
靖天卡通台,https://t.freetv.fun/live/jing-tian-qia-tong.php
靖天日本台,http://api.mytv666.top/api/hk.php?id=6262333561643236323763616135643836386163393966633066613330393130267469643d74762669643d313633
靖天日本台,https://t.freetv.fun/live/jing-tian-ri-ben.php
靖天映画台,https://cdn12.178.indevs.in/163189/bd4752bd7828b2bf
靖天育乐,http://api.mytv666.top/api/hk.php?id=3133636463383564376130636362643433633466316532626264303232346139267469643d74762669643d313431
靖天育乐,https://t.freetv.fun/live/jing-tian-yu-le.php
靖天资讯台,https://stream1.freetv.fun/jing-tian-zi-xun-2.ctv
靖天资讯台,https://t.freetv.fun/live/jing-tian-zi-xun.php
靖天综合台,https://t.freetv.fun/live/jing-tian-zong-he.php
龙华经典台,http://aktv.top/AKTV/live/aktv/null-7/AKTV.m3u8
龙华经典台,http://api.mytv666.top/api/hk.php?id=3065633761663630333461656536343531636333616636383031653138653532267469643d74762669643d313330
龙华经典台,https://cdn8.163189.xyz/163189/lhjd
龙华经典台,https://cdn8.163189.xyz/live/lhjd/stream.m3u8
龙华卡通台,https://cdn8.163189.xyz/live/lhkt/stream.m3u8
龙华偶像台,https://cdn8.163189.xyz/163189/lhox
龙华偶像台,https://cdn8.163189.xyz/live/lhox/stream.m3u8
龙华日韩台,http://aktv.top/AKTV/live/aktv/null-22/AKTV.m3u8
龙华日韩台,https://cdn8.163189.xyz/163189/lhrh
龙华日韩台,https://cdn8.163189.xyz/live/lhrh/stream.m3u8
龙华洋片,http://iptv.4666888.xyz/iptv2A.php?id=60
龙华洋片,https://cdn8.163189.xyz/live/lhyp/stream.m3u8
民视,http://37.27.111.214:8080/live/6/hls.m3u8
民视,http://iptv.4666888.xyz/iptv2A.php?id=55
民视第一台,http://74.91.26.218:82/live/ftvdy.m3u8
民视第一台,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv003
民视第一台,https://stream1.freetv.fun/min-shi-di-yi-2.ctv
民视台湾台,http://74.91.26.218:82/live/ftvtw.m3u8
民视台湾台,https://stream1.freetv.fun/min-shi-tai-wan-6.ctv
民视新闻台,http://74.91.26.218:82/live/ftvnews.m3u8
民视新闻台,https://stream1.freetv.fun/min-shi-xin-wen-11.m3u8
民视新闻台,https://stream1.freetv.fun/min-shi-xin-wen-14.m3u8
民视新闻台,https://stream1.freetv.fun/min-shi-xin-wen-2.m3u8
民视新闻台,https://stream1.freetv.fun/min-shi-xin-wen-7.m3u8
民视综艺台,http://iptv.4666888.xyz/iptv2A.php?id=46
三立财经,http://aktv.top/AKTV/live/aktv/null-14/AKTV.m3u8
三立台湾台,https://stream1.freetv.fun/san-li-tai-wan-1.ctv
三立新闻台,https://stream1.freetv.fun/san-li-xin-wen-3.m3u8
三立新闻台,https://stream1.freetv.fun/san-li-xin-wen-4.m3u8
三立新闻台,https://stream1.freetv.fun/san-li-xin-wen-5.ctv
三立综合台,http://aktv.top/AKTV/live/aktv/null-13/AKTV.m3u8
台视,http://api.mytv666.top/api/hk.php?id=3635653132623764396265363436643739323138323765393036626237366463267469643d77696e74763132332669643d3636
台视,https://t.freetv.fun/live/tai-shi.php
台视财经,http://74.91.26.218:82/live/ttvcj.m3u8
台视财经,http://api.mytv666.top/api/hk.php?id=3430653266396334373235643533373737646262616130373136356362633564267469643d74762669643d313033
台视财经,https://t.freetv.fun/live/tai-shi-cai-jing-1.php
台视新闻台,http://222.128.55.152:9080/live/ts.m3u8
台视新闻台,http://74.91.26.218:82/live/ttvnews.m3u8
台视新闻台,https://stream1.freetv.fun/tai-shi-xin-wen-1.m3u8
台视新闻台,https://stream1.freetv.fun/tai-shi-xin-wen-10.m3u8
台视新闻台,https://stream1.freetv.fun/tai-shi-xin-wen-22.m3u8
台视新闻台,https://stream1.freetv.fun/tai-shi-xin-wen-8.m3u8
台视综合台,http://74.91.26.218:82/live/ttvzh.m3u8
天映,http://php.jdshipin.com/smt.php?id=Celestial
天映,http://php.jdshipin.com:8880/smt.php?id=Celestial
天映,https://o11.163189.xyz/stream/live/typd/
天映经典台,http://74.91.26.218:82/live/tyjd.m3u8
天映经典台,http://php.jdshipin.com/smt.php?id=Celestial2
天映经典台,http://php.jdshipin.com:8880/smt.php?id=Celestial2
天映经典台,https://cdn10.163189.xyz/stream/163189/ccm/
天映经典台,https://cdn9.163189.xyz/smt1.1.php?id=Celestial2
天映经典台,https://o11.163189.xyz/stream/live/ccm/
天映经典台,https://stream1.freetv.fun/tian-ying-jing-dian-5.m3u8
天映马来西亚,http://o11.163189.xyz/stream/live/typd/
天映新加坡,https://cdn10.163189.xyz/stream/163189/typd/
纬来日本台,http://api.mytv666.top/api/hk.php?id=3133363034363738393961346338323433306638356263633139386238313034267469643d74762669643d3738
纬来日本台,http://api.mytv666.top/api/hk.php?id=6162396334313766366139633661346139336139613735646138303363373534267469643d77696e74763132332669643d3830
纬来育乐,http://api.mytv666.top/api/hk.php?id=3165616132653636313766396265326639656663626530326530386464616563267469643d77696e74763132332669643d3831
纬来育乐,https://live.catvod.com/live.php?id=videolandmax
纬来育乐,https://live.catvod.com/live.php?id=videolandyule
无线翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
无线华丽,http://php.jdshipin.com/smt.php?id=Tvbjade
无线华丽,http://php.jdshipin.com:8880/TVOD/iptv.php?id=huali
无线明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
无线新闻台,http://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8
无线新闻台,http://aktv.top/AKTV/live/aktv/null-20/AKTV.m3u8
无线新闻台,http://php.jdshipin.com/TVOD/iptv.php?id=wxxw
无线新闻台,http://r.jdshipin.com/CkuBd
无线新闻台,https://cdn6.101.qzz.io/163189/wxxw
无线新闻台,http://php.jdshipin.com:8880/smt.php?id=inews_twn
无线新闻台源1,http://php.jdshipin.com/smt.php?id=inews_twn
无线新闻台源2,http://php.jdshipin.com/TVOD/iptv.php?id=wxxwt
无线星河,https://cdn6.101.qzz.io/163189/tvbxh
杨钰莹轻轻告诉你,http://vodcdn.video.taobao.com/oss/ali-video/1905c60363f40cea52f342ec59132da0/video.m3u8
中华小当家,https://live.ottiptv.cc/huya/11342413
中视,http://37.27.111.214:8080/live/7/hls.m3u8
中视,http://74.91.26.218:82/live/ctv.m3u8
中视,http://aktv.top/AKTV/live/aktv/null-10/AKTV.m3u8
中视,https://t.freetv.fun/live/zhong-shi-1.php
中视菁采台,http://74.91.26.218:82/live/ctvjc.m3u8
中视经典台,http://74.91.26.218:82/live/ctvjd.m3u8
中视新闻台,http://74.91.26.218:82/live/ctvnews.m3u8
中天新闻台,http://222.128.55.152:9080/live/fc.m3u8
中天新闻台,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8
中天新闻台,https://stream1.freetv.fun/zhong-tian-xin-wen-4.m3u8
中天亚洲,http://aktv.top/AKTV/live/aktv/null-12/AKTV.m3u8
