更新时间,#genre#
20250810-18-24-57,url


RespoTime,whitelist,#genre#
104.88ms,TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
105.02ms,东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist0.m3u8
105.39ms,TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist0.m3u8
106.62ms,TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8
127.48ms,龙华戏剧,https://cdn8.163189.xyz/live/lhxj/stream.m3u8
132.62ms,东森电影,http://live4play.uk/livehttpplay?channel_id=20104
135.53ms,1998年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5225864507896315430_hlshd15.m3u8
142.46ms,湖南卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5199687338554291078_hlsb.m3u8
144.04ms,TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
146.26ms,江苏卫视,https://txmov2.a.kwimgs.com/upic/2023/02/07/12/BMjAyMzAyMDcxMjQ3NDlfNzM5MzQzNzIyXzk1NjcxMTk5ODM5XzBfMw==_b_Bb92095c7df3c98b458dd14abf1d4b575.mp4
155.52ms,叙州新闻综合,http://pili-live-hls.ybcxjd.com/jdh-live/2108111201035597.m3u8?zsicd
156.24ms,TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
179.48ms,叙州新闻综合,http://pili-live-hls.ybcxjd.com/jdh-live/2108111201035597.m3u8
190.64ms,TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8?
192.22ms,1997年春晚,https://txmov2.a.kwimgs.com/upic/2023/01/13/22/BMjAyMzAxMTMyMjEwMDNfNDAzMDAxOTlfOTM1MTIzMzYxNTJfMF8z_b_Bd841eae10ab1c9955ef55fbedfae6c45.mp4
195.34ms,香港卫视,http://player.cntv.cn/standard/live_HLSDRM20180606.swf?ChannelID=xianggangweishi&P2PChannelID=pd://cctv_p2p_hdxianggangweishi
198.21ms,新加坡国际,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
203.06ms,1995年春晚,https://txmov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQwNzVfMF8z_b_B811c0dec6b9a3d3074a18522c185010a.mp4
211.11ms,TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8?
211.26ms,黑龙江卫视,https://s1.abntelevision.com/avivamientoabr/stream/avivamientohd/avivamientohd/chunks.m3u8
220.46ms,2009年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQzOTBfMF8z_b_B29a36a85e0277f6c2a1f033ef7c10708.mp4
221.54ms,半岛新闻 (1080p),https://live-hls-web-aje.getaj.net/AJE/01.m3u8
228.22ms,动物星球,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
239.56ms,明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
241.71ms,福建电视剧,http://c4a22b.tv.netsite.cc/proxy/1180178372/1180178372.m3u8
242.02ms,浙江钱江,http://c4a22b.tv.netsite.cc/proxy/2044904392/2044904392.m3u8
242.12ms,浙江民生休闲,http://4eae7f.tv.netsite.cc/proxy/184155918/184155918.m3u8
242.16ms,浙江舟山东极岛,http://4eae7f.tv.netsite.cc/proxy/1973269961/1973269961.m3u8
242.28ms,湖南都市,http://a21709.tv.netsite.cc/proxy/1116439121/1116439121.m3u8
242.54ms,浙江少儿,http://ced8ee.tv.netsite.cc/proxy/1658458613/1658458613.m3u8
243.01ms,陕西新闻资讯,http://3ad2a0.tv.netsite.cc/proxy/1595881474/1595881474.m3u8
243.25ms,无锡生活,http://d97e53.tv.netsite.cc/proxy/995802232/995802232.m3u8
243.48ms,福建新闻,http://9943a6.tv.netsite.cc/proxy/199601741/199601741.m3u8
243.92ms,Fox新闻,https://fox-foxnewsnow-samsungus.amagi.tv/playlist720p.m3u8
244.11ms,长沙政法,http://d0bf2d.tv.netsite.cc/proxy/298063278/298063278.m3u8
244.12ms,甘肃卫视,http://09a1f2.tv.netsite.cc/proxy/910220240/910220240.m3u8
244.18ms,福建电视剧,http://c7280d.tv.netsite.cc/proxy/1180178372/1180178372.m3u8
244.41ms,浙江钱江,http://ced8ee.tv.netsite.cc/proxy/2044904392/2044904392.m3u8
244.43ms,长沙政法,http://9943a6.tv.netsite.cc/proxy/298063278/298063278.m3u8
244.48ms,福建海峡卫视,http://c7280d.tv.netsite.cc/proxy/1400186150/1400186150.m3u8
244.75ms,福建少儿频道,http://4eae7f.tv.netsite.cc/proxy/253585251/253585251.m3u8
244.83ms,无线新闻,http://php.jdshipin.com:8880/smt.php?id=inews_twn
244.95ms,陕西购物,http://0a736a.tv.netsite.cc/proxy/1183146985/1183146985.m3u8
245.05ms,福建新闻,http://c7280d.tv.netsite.cc/proxy/199601741/199601741.m3u8
245.06ms,甘肃都市,http://a21709.tv.netsite.cc/proxy/1238488351/1238488351.m3u8
245.17ms,深圳卫视,http://0a736a.tv.netsite.cc/proxy/457534194/457534194.m3u8
245.17ms,湖北卫视,http://676a02.tv.netsite.cc/proxy/209398845/209398845.m3u8
245.17ms,甘肃都市,http://3ad2a0.tv.netsite.cc/proxy/1238488351/1238488351.m3u8
245.19ms,长沙女性,http://09a1f2.tv.netsite.cc/proxy/1812024686/1812024686.m3u8
245.32ms,2011年春晚,https://txmov2.a.kwimgs.com/upic/2023/01/16/11/BMjAyMzAxMTYxMTA3MjFfNDAzMDAxOTlfOTM3MjcyMjA3ODhfMF8z_b_B8214200efc869dc6fcf99dad619fa4c1.mp4
245.32ms,贵州卫视,http://0a736a.tv.netsite.cc/proxy/189740973/189740973.m3u8
245.33ms,福建综合,http://f28cdb.tv.netsite.cc/proxy/269896449/269896449.m3u8
245.36ms,甘肃经济,http://ced8ee.tv.netsite.cc/proxy/1373372389/1373372389.m3u8
245.37ms,陕西新闻资讯,http://d97e53.tv.netsite.cc/proxy/1595881474/1595881474.m3u8
245.42ms,陕西卫视,http://f28cdb.tv.netsite.cc/proxy/917851306/917851306.m3u8
245.44ms,北京卫视,https://live-hls-web-ajb.getaj.net/AJB/01.m3u8
245.52ms,福建综合,http://9943a6.tv.netsite.cc/proxy/269896449/269896449.m3u8
245.52ms,陕西卫视,http://09a1f2.tv.netsite.cc/proxy/1158533991/1158533991.m3u8
245.57ms,陕西卫视,http://676a02.tv.netsite.cc/proxy/917851306/917851306.m3u8
245.68ms,浙江教科影视,http://c4a22b.tv.netsite.cc/proxy/833196700/833196700.m3u8
245.77ms,贵州卫视,http://09a1f2.tv.netsite.cc/proxy/189740973/189740973.m3u8
245.84ms,陕西购物,http://09a1f2.tv.netsite.cc/proxy/1183146985/1183146985.m3u8
245.87ms,陕西购物,http://676a02.tv.netsite.cc/proxy/1183146985/1183146985.m3u8
246.07ms,湖北卫视,http://a21709.tv.netsite.cc/proxy/209398845/209398845.m3u8
246.17ms,长沙新闻综合,http://bf11e1.tv.netsite.cc/proxy/1524274658/1524274658.m3u8
246.24ms,陕西农林,http://3ad2a0.tv.netsite.cc/proxy/1359389546/1359389546.m3u8
246.27ms,陕西新闻资讯,http://0a736a.tv.netsite.cc/proxy/1595881474/1595881474.m3u8
246.28ms,陕西生活,http://c7280d.tv.netsite.cc/proxy/286895848/286895848.m3u8
246.38ms,青海卫视,http://d97e53.tv.netsite.cc/proxy/1164716104/1164716104.m3u8
246.41ms,福建海峡卫视,http://ced8ee.tv.netsite.cc/proxy/1400186150/1400186150.m3u8
246.44ms,福建综合,http://ced8ee.tv.netsite.cc/proxy/269896449/269896449.m3u8
246.45ms,无锡新闻综合,http://d97e53.tv.netsite.cc/proxy/1808503557/1808503557.m3u8
246.47ms,陕西都市青春,http://3ad2a0.tv.netsite.cc/proxy/391844543/391844543.m3u8
246.57ms,陕西新闻资讯,http://09a1f2.tv.netsite.cc/proxy/1595881474/1595881474.m3u8
246.61ms,福建经视频道,http://4eae7f.tv.netsite.cc/proxy/561753807/561753807.m3u8
246.62ms,浙江卫视,http://ced8ee.tv.netsite.cc/proxy/257951448/257951448.m3u8
246.63ms,浙江少儿,http://c7280d.tv.netsite.cc/proxy/1658458613/1658458613.m3u8
246.63ms,福建综合,http://676a02.tv.netsite.cc/proxy/269896449/269896449.m3u8
246.66ms,浙江卫视,http://9943a6.tv.netsite.cc/proxy/257951448/257951448.m3u8
246.70ms,甘肃都市,http://9943a6.tv.netsite.cc/proxy/1238488351/1238488351.m3u8
246.74ms,福建新闻频道,http://4eae7f.tv.netsite.cc/proxy/199601741/199601741.m3u8
246.79ms,福建海峡卫视,http://9943a6.tv.netsite.cc/proxy/1400186150/1400186150.m3u8
246.79ms,陕西生活,http://ced8ee.tv.netsite.cc/proxy/286895848/286895848.m3u8
246.88ms,福建电视剧,http://d97e53.tv.netsite.cc/proxy/1180178372/1180178372.m3u8
246.89ms,长沙女性,http://9943a6.tv.netsite.cc/proxy/1812024686/1812024686.m3u8
246.98ms,陕西新闻资讯,http://bf11e1.tv.netsite.cc/proxy/1595881474/1595881474.m3u8
247.00ms,浙江生活,http://4eae7f.tv.netsite.cc/proxy/1957918007/1957918007.m3u8
247.04ms,山东卫视,http://9943a6.tv.netsite.cc/proxy/95712545/95712545.m3u8
247.04ms,无锡新闻综合频道,http://4eae7f.tv.netsite.cc/proxy/1808503557/1808503557.m3u8
247.10ms,江西卫视,http://9943a6.tv.netsite.cc/proxy/203181175/203181175.m3u8
247.12ms,陕西公共频道,http://4eae7f.tv.netsite.cc/proxy/1782806707/1782806707.m3u8
247.19ms,陕西购物,http://d97e53.tv.netsite.cc/proxy/1183146985/1183146985.m3u8
247.24ms,浙江卫视,http://f28cdb.tv.netsite.cc/proxy/257951448/257951448.m3u8
247.39ms,陕西生活,http://676a02.tv.netsite.cc/proxy/286895848/286895848.m3u8
247.43ms,浙江钱江,http://09a1f2.tv.netsite.cc/proxy/2044904392/2044904392.m3u8
247.52ms,河北都市,http://d97e53.tv.netsite.cc/proxy/1382613512/1382613512.m3u8
247.53ms,陕西农林,http://4eae7f.tv.netsite.cc/proxy/1359389546/1359389546.m3u8
247.59ms,泗洪新闻综合,http://c7280d.tv.netsite.cc/proxy/39753847/39753847.m3u8
247.70ms,镇江二套社会民生频道,http://4eae7f.tv.netsite.cc/proxy/1259661680/1259661680.m3u8
247.73ms,河南民生,http://09a1f2.tv.netsite.cc/proxy/1346087362/1346087362.m3u8
247.76ms,海南卫视,http://d97e53.tv.netsite.cc/proxy/2019508840/2019508840.m3u8
247.79ms,2009年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5210946337266019890_hlshd15.m3u8
247.79ms,贵州卫视,http://09a1f2.tv.netsite.cc/proxy/1494390345/1494390345.m3u8
247.89ms,陕西购物,http://ced8ee.tv.netsite.cc/proxy/1183146985/1183146985.m3u8
247.99ms,河北少儿科教,http://d97e53.tv.netsite.cc/proxy/177438581/177438581.m3u8
248.05ms,黑龙江卫视,http://09a1f2.tv.netsite.cc/proxy/982668357/982668357.m3u8
248.07ms,河南都市,http://a21709.tv.netsite.cc/proxy/1492902938/1492902938.m3u8
248.08ms,长沙新闻综合,http://0a736a.tv.netsite.cc/proxy/1524274658/1524274658.m3u8
248.16ms,海南卫视,http://a21709.tv.netsite.cc/proxy/2019508840/2019508840.m3u8
248.16ms,陕西公共,http://676a02.tv.netsite.cc/proxy/1782806707/1782806707.m3u8
248.21ms,陕西公共,http://09a1f2.tv.netsite.cc/proxy/1782806707/1782806707.m3u8
248.30ms,哈哈炫动,http://09a1f2.tv.netsite.cc/proxy/1655047572/1655047572.m3u8
248.35ms,泗洪新闻综合,http://f28cdb.tv.netsite.cc/proxy/39753847/39753847.m3u8
248.42ms,陕西卫视,http://ced8ee.tv.netsite.cc/proxy/1158533991/1158533991.m3u8
248.43ms,河北都市,http://09a1f2.tv.netsite.cc/proxy/1382613512/1382613512.m3u8
248.43ms,青海卫视,http://f28cdb.tv.netsite.cc/proxy/1164716104/1164716104.m3u8
248.46ms,江西卫视,http://0a736a.tv.netsite.cc/proxy/203181175/203181175.m3u8
248.50ms,金鹰纪实,http://4eae7f.tv.netsite.cc/proxy/46690299/46690299.m3u8
248.57ms,甘肃卫视,http://676a02.tv.netsite.cc/proxy/1209404373/1209404373.m3u8
248.58ms,河北都市,http://4eae7f.tv.netsite.cc/proxy/1382613512/1382613512.m3u8
248.61ms,浙江民生休闲,http://3ad2a0.tv.netsite.cc/proxy/991769224/991769224.m3u8
248.69ms,海南卫视,http://c7280d.tv.netsite.cc/proxy/200969914/200969914.m3u8
248.72ms,长沙政法,http://09a1f2.tv.netsite.cc/proxy/298063278/298063278.m3u8
248.76ms,长沙政法频道,http://4eae7f.tv.netsite.cc/proxy/298063278/298063278.m3u8
248.82ms,浙江卫视,http://09a1f2.tv.netsite.cc/proxy/257951448/257951448.m3u8
248.84ms,福建综合,http://d0bf2d.tv.netsite.cc/proxy/269896449/269896449.m3u8
248.90ms,河北农民,http://c4a22b.tv.netsite.cc/proxy/1382120425/1382120425.m3u8
248.98ms,海南卫视,http://09a1f2.tv.netsite.cc/proxy/2019508840/2019508840.m3u8
249.05ms,金鹰纪实,http://d97e53.tv.netsite.cc/proxy/46690299/46690299.m3u8
249.06ms,陕西体育休闲,http://9943a6.tv.netsite.cc/proxy/742107634/742107634.m3u8
249.07ms,东方卫视,http://ced8ee.tv.netsite.cc/proxy/694881013/694881013.m3u8
249.13ms,长沙女性,http://d97e53.tv.netsite.cc/proxy/1812024686/1812024686.m3u8
249.17ms,山东卫视,http://676a02.tv.netsite.cc/proxy/95712545/95712545.m3u8
249.17ms,甘肃经济,http://09a1f2.tv.netsite.cc/proxy/1373372389/1373372389.m3u8
249.18ms,镇江新闻综合频道,http://4eae7f.tv.netsite.cc/proxy/1052067340/1052067340.m3u8
249.22ms,陕西体育休闲,http://676a02.tv.netsite.cc/proxy/742107634/742107634.m3u8
249.23ms,长沙女性,http://f28cdb.tv.netsite.cc/proxy/1812024686/1812024686.m3u8
249.26ms,沛县新闻综合,http://d97e53.tv.netsite.cc/proxy/2058383266/2058383266.m3u8
249.26ms,福建新闻,http://676a02.tv.netsite.cc/proxy/199601741/199601741.m3u8
249.28ms,陕西体育休闲,http://0a736a.tv.netsite.cc/proxy/742107634/742107634.m3u8
249.29ms,福建少儿,http://ced8ee.tv.netsite.cc/proxy/253585251/253585251.m3u8
249.30ms,青海卫视,http://ced8ee.tv.netsite.cc/proxy/1164716104/1164716104.m3u8
249.33ms,浙江卫视,http://09a1f2.tv.netsite.cc/proxy/2059640241/2059640241.m3u8
249.34ms,浙江民生休闲,http://0a736a.tv.netsite.cc/proxy/991769224/991769224.m3u8
249.36ms,甘肃经济,http://c4a22b.tv.netsite.cc/proxy/1373372389/1373372389.m3u8
249.42ms,海南卫视,http://c7280d.tv.netsite.cc/proxy/2019508840/2019508840.m3u8
249.46ms,浙江少儿,http://9943a6.tv.netsite.cc/proxy/1658458613/1658458613.m3u8
249.46ms,海南卫视,http://ced8ee.tv.netsite.cc/proxy/200969914/200969914.m3u8
249.49ms,福建电视剧,http://a21709.tv.netsite.cc/proxy/1180178372/1180178372.m3u8
249.56ms,陕西都市青春,http://09a1f2.tv.netsite.cc/proxy/391844543/391844543.m3u8
249.61ms,湖南都市,http://09a1f2.tv.netsite.cc/proxy/1116439121/1116439121.m3u8
249.65ms,金鹰卡通,http://09a1f2.tv.netsite.cc/proxy/1947104640/1947104640.m3u8
249.71ms,河北卫视,http://0a736a.tv.netsite.cc/proxy/1385861493/1385861493.m3u8
249.73ms,浙江钱江,http://0a736a.tv.netsite.cc/proxy/2044904392/2044904392.m3u8
249.73ms,陕西农林,http://676a02.tv.netsite.cc/proxy/1359389546/1359389546.m3u8
249.75ms,甘肃都市,http://0a736a.tv.netsite.cc/proxy/1238488351/1238488351.m3u8
249.77ms,浙江杭州千岛湖,http://4eae7f.tv.netsite.cc/proxy/1683811739/1683811739.m3u8
249.80ms,河北都市,http://0a736a.tv.netsite.cc/proxy/1382613512/1382613512.m3u8
249.87ms,东南卫视,http://a21709.tv.netsite.cc/proxy/698479958/698479958.m3u8
249.89ms,陕西农林,http://c7280d.tv.netsite.cc/proxy/1359389546/1359389546.m3u8
249.89ms,黑龙江卫视,http://c4a22b.tv.netsite.cc/proxy/982668357/982668357.m3u8
249.90ms,陕西生活,http://d97e53.tv.netsite.cc/proxy/286895848/286895848.m3u8
249.95ms,甘肃都市,http://09a1f2.tv.netsite.cc/proxy/1238488351/1238488351.m3u8
250.00ms,甘肃卫视,http://676a02.tv.netsite.cc/proxy/910220240/910220240.m3u8
250.01ms,浙江教科影视,http://676a02.tv.netsite.cc/proxy/833196700/833196700.m3u8
250.04ms,湖北卫视,http://f28cdb.tv.netsite.cc/proxy/209398845/209398845.m3u8
250.04ms,福建综合频道,http://4eae7f.tv.netsite.cc/proxy/269896449/269896449.m3u8
250.06ms,福建电视剧,http://3ad2a0.tv.netsite.cc/proxy/1180178372/1180178372.m3u8
250.09ms,海南卫视,http://c4a22b.tv.netsite.cc/proxy/200969914/200969914.m3u8
250.11ms,湖北卫视,http://d97e53.tv.netsite.cc/proxy/209398845/209398845.m3u8
250.15ms,福建海峡卫视,http://c4a22b.tv.netsite.cc/proxy/1400186150/1400186150.m3u8
250.19ms,黑龙江卫视,http://c7280d.tv.netsite.cc/proxy/1993445467/1993445467.m3u8
250.20ms,甘肃经济,http://0a736a.tv.netsite.cc/proxy/1373372389/1373372389.m3u8
250.23ms,甘肃少儿,http://ced8ee.tv.netsite.cc/proxy/1645236406/1645236406.m3u8
250.28ms,浙江钱江,http://676a02.tv.netsite.cc/proxy/2044904392/2044904392.m3u8
250.28ms,甘肃卫视,http://f28cdb.tv.netsite.cc/proxy/910220240/910220240.m3u8
250.28ms,福建新闻,http://bf11e1.tv.netsite.cc/proxy/199601741/199601741.m3u8
250.31ms,海南卫视,http://d97e53.tv.netsite.cc/proxy/200969914/200969914.m3u8
250.35ms,牛群冯巩两个弄潮儿,https://vd3.bdstatic.com/mda-mkqdhm17rs7198m6/hd/cae_h264/1637859905115117938/mda-mkqdhm17rs7198m6.mp4?pd=19&vt=1
250.39ms,浙江生活,http://676a02.tv.netsite.cc/proxy/1529435983/1529435983.m3u8
250.43ms,甘肃卫视,http://d97e53.tv.netsite.cc/proxy/910220240/910220240.m3u8
250.46ms,福建海峡卫视,http://09a1f2.tv.netsite.cc/proxy/1400186150/1400186150.m3u8
250.48ms,甘肃少儿,http://d0bf2d.tv.netsite.cc/proxy/1645236406/1645236406.m3u8
250.50ms,金鹰纪实,http://0a736a.tv.netsite.cc/proxy/46690299/46690299.m3u8
250.52ms,湖北卫视,http://ced8ee.tv.netsite.cc/proxy/209398845/209398845.m3u8
250.55ms,福建海峡卫视,http://f28cdb.tv.netsite.cc/proxy/1400186150/1400186150.m3u8
250.56ms,河北卫视,http://09a1f2.tv.netsite.cc/proxy/1385861493/1385861493.m3u8
250.68ms,陕西卫视,http://c7280d.tv.netsite.cc/proxy/1158533991/1158533991.m3u8
250.71ms,浙江卫视,http://0a736a.tv.netsite.cc/proxy/257951448/257951448.m3u8
250.72ms,浙江新闻,http://4eae7f.tv.netsite.cc/proxy/249206805/249206805.m3u8
250.76ms,福建综合,http://09a1f2.tv.netsite.cc/proxy/269896449/269896449.m3u8
250.77ms,河北少儿科教,http://c7280d.tv.netsite.cc/proxy/177438581/177438581.m3u8
250.80ms,陕西生活,http://3ad2a0.tv.netsite.cc/proxy/286895848/286895848.m3u8
250.86ms,陕西体育休闲,http://09a1f2.tv.netsite.cc/proxy/742107634/742107634.m3u8
250.92ms,甘肃卫视,http://0a736a.tv.netsite.cc/proxy/1209404373/1209404373.m3u8
250.95ms,浙江生活,http://0a736a.tv.netsite.cc/proxy/1529435983/1529435983.m3u8
250.95ms,湖南都市,http://c4a22b.tv.netsite.cc/proxy/1116439121/1116439121.m3u8
250.96ms,陕西新闻资讯,http://c7280d.tv.netsite.cc/proxy/1595881474/1595881474.m3u8
250.97ms,贵州卫视,http://a21709.tv.netsite.cc/proxy/189740973/189740973.m3u8
250.98ms,长沙新闻综合,http://9943a6.tv.netsite.cc/proxy/1524274658/1524274658.m3u8
250.98ms,陕西公共,http://f28cdb.tv.netsite.cc/proxy/1782806707/1782806707.m3u8
251.02ms,陕西都市青春,http://c4a22b.tv.netsite.cc/proxy/391844543/391844543.m3u8
251.05ms,陕西卫视,http://09a1f2.tv.netsite.cc/proxy/917851306/917851306.m3u8
251.12ms,陕西购物,http://3ad2a0.tv.netsite.cc/proxy/1183146985/1183146985.m3u8
251.14ms,福建新闻,http://a21709.tv.netsite.cc/proxy/199601741/199601741.m3u8
251.15ms,河北少儿科教,http://3ad2a0.tv.netsite.cc/proxy/177438581/177438581.m3u8
251.16ms,福建电视剧,http://0a736a.tv.netsite.cc/proxy/1180178372/1180178372.m3u8
251.21ms,陕西新闻资讯,http://c4a22b.tv.netsite.cc/proxy/1595881474/1595881474.m3u8
251.22ms,TVB星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe
251.22ms,陕西体育休闲,http://bf11e1.tv.netsite.cc/proxy/742107634/742107634.m3u8
251.23ms,黑龙江卫视,http://c4a22b.tv.netsite.cc/proxy/1993445467/1993445467.m3u8
251.27ms,无锡都市资讯,http://09a1f2.tv.netsite.cc/proxy/1260824748/1260824748.m3u8
251.28ms,浙江民生休闲,http://c7280d.tv.netsite.cc/proxy/991769224/991769224.m3u8
251.41ms,西藏卫视,http://c4a22b.tv.netsite.cc/proxy/1062504144/1062504144.m3u8
251.42ms,内蒙古卫视,http://09a1f2.tv.netsite.cc/proxy/1149350272/1149350272.m3u8
251.42ms,甘肃卫视,http://09a1f2.tv.netsite.cc/proxy/1209404373/1209404373.m3u8
251.44ms,福建少儿,http://bf11e1.tv.netsite.cc/proxy/253585251/253585251.m3u8
251.46ms,福建电视剧,http://d0bf2d.tv.netsite.cc/proxy/1180178372/1180178372.m3u8
251.46ms,陕西都市青春,http://0a736a.tv.netsite.cc/proxy/391844543/391844543.m3u8
251.47ms,青海卫视,http://c4a22b.tv.netsite.cc/proxy/1164716104/1164716104.m3u8
251.48ms,陕西新闻资讯,http://d0bf2d.tv.netsite.cc/proxy/1595881474/1595881474.m3u8
251.49ms,陕西卫视,http://4eae7f.tv.netsite.cc/proxy/917851306/917851306.m3u8
251.50ms,陕西卫视,http://d97e53.tv.netsite.cc/proxy/1158533991/1158533991.m3u8
251.55ms,河南都市,http://f28cdb.tv.netsite.cc/proxy/1492902938/1492902938.m3u8
251.56ms,浙江教科影视,http://bf11e1.tv.netsite.cc/proxy/833196700/833196700.m3u8
251.60ms,江西卫视,http://f28cdb.tv.netsite.cc/proxy/203181175/203181175.m3u8
251.60ms,河北卫视,http://d97e53.tv.netsite.cc/proxy/1385861493/1385861493.m3u8
251.63ms,无锡都市资讯,http://c4a22b.tv.netsite.cc/proxy/1260824748/1260824748.m3u8
251.63ms,泗阳资讯频道,http://4eae7f.tv.netsite.cc/proxy/1545407523/1545407523.m3u8
251.64ms,浙江钱江,http://f28cdb.tv.netsite.cc/proxy/2044904392/2044904392.m3u8
251.65ms,河北农民,http://d97e53.tv.netsite.cc/proxy/1382120425/1382120425.m3u8
251.68ms,海南卫视,http://f28cdb.tv.netsite.cc/proxy/200969914/200969914.m3u8
251.70ms,浙江新闻,http://676a02.tv.netsite.cc/proxy/2053951003/2053951003.m3u8
251.73ms,陕西卫视,http://bf11e1.tv.netsite.cc/proxy/1158533991/1158533991.m3u8
251.76ms,陕西购物,http://9943a6.tv.netsite.cc/proxy/1183146985/1183146985.m3u8
251.77ms,无锡生活频道,http://4eae7f.tv.netsite.cc/proxy/995802232/995802232.m3u8
251.79ms,内蒙古卫视,http://0a736a.tv.netsite.cc/proxy/1149350272/1149350272.m3u8
251.79ms,海南卫视,http://c4a22b.tv.netsite.cc/proxy/2019508840/2019508840.m3u8
251.81ms,长沙女性,http://a21709.tv.netsite.cc/proxy/1812024686/1812024686.m3u8
251.84ms,陕西公共,http://bf11e1.tv.netsite.cc/proxy/1782806707/1782806707.m3u8
251.85ms,浙江新闻,http://c4a22b.tv.netsite.cc/proxy/2053951003/2053951003.m3u8
251.86ms,沛县新闻综合,http://c7280d.tv.netsite.cc/proxy/2058383266/2058383266.m3u8
251.86ms,陕西都市青春,http://f28cdb.tv.netsite.cc/proxy/391844543/391844543.m3u8
251.86ms,青海卫视,http://c7280d.tv.netsite.cc/proxy/1164716104/1164716104.m3u8
251.90ms,陕西购物,http://4eae7f.tv.netsite.cc/proxy/1183146985/1183146985.m3u8
251.91ms,长沙新闻综合,http://d97e53.tv.netsite.cc/proxy/1524274658/1524274658.m3u8
251.91ms,陕西农林,http://d97e53.tv.netsite.cc/proxy/1359389546/1359389546.m3u8
252.01ms,陕西购物,http://f28cdb.tv.netsite.cc/proxy/1183146985/1183146985.m3u8
252.04ms,福建新闻,http://09a1f2.tv.netsite.cc/proxy/199601741/199601741.m3u8
252.04ms,长沙政法,http://ced8ee.tv.netsite.cc/proxy/298063278/298063278.m3u8
252.05ms,陕西农林,http://c4a22b.tv.netsite.cc/proxy/1359389546/1359389546.m3u8
252.06ms,沭阳综合频道,http://4eae7f.tv.netsite.cc/proxy/1424907816/1424907816.m3u8
252.07ms,浙江教科影视,http://09a1f2.tv.netsite.cc/proxy/833196700/833196700.m3u8
252.08ms,长沙政法,http://a21709.tv.netsite.cc/proxy/298063278/298063278.m3u8
252.09ms,陕西公共,http://c7280d.tv.netsite.cc/proxy/1782806707/1782806707.m3u8
